0,1,2,3,4,5,6,7,8,9,10
99.14,27.24,46.97,2.89,51.31,15.73,59.01,30.76,782.24,3.0,324000000.0
100.92,27.4,47.8,2.97,51.86,15.87,59.3,31.21,793.96,3.0,315000000.0
99.6,27.15,47.71,2.91,51.64,15.66,57.51,30.81,790.3,2.98,306000000.0
97.69,26.84,47.22,2.93,50.88,15.45,57.3,30.34,778.01,2.87,288000000.0
97.77,27.46,46.98,2.81,50.26,15.09,55.61,29.93,759.44,2.77,279000000.0
95.32,28.36,46.53,2.81,50.49,15.09,55.06,29.79,761.53,2.75,324000000.0
93.46,27.74,46.39,2.59,49.57,14.77,55.2,29.13,759.33,2.51,297000000.0
89.51,28.31,45.41,2.41,47.85,14.23,52.63,28.04,741.0,2.28,288000000.0
89.99,27.54,45.12,2.32,47.99,13.96,51.89,27.75,730.91,2.14,270000000.0
91.44,29.79,46.76,2.26,47.97,14.06,51.62,28.23,733.07,2.34,252000000.0
92.77,29.63,47.4,2.11,48.41,14.06,50.86,28.78,745.34,2.39,243000000.0
90.38,29.65,45.4,1.99,47.36,13.68,48.06,28.1,719.57,2.25,243000000.0
92.36,28.88,45.02,2.17,48.71,13.77,47.83,28.83,731.39,2.21,243000000.0
90.14,29.07,43.19,2.11,46.76,13.28,45.67,26.21,710.49,2.03,225000000.0
89.71,29.74,42.53,2.08,46.37,13.08,45.18,26.24,719.08,1.95,225000000.0
89.83,30.49,41.88,2.08,46.58,12.57,45.12,26.06,718.56,1.8,180000000.0
89.37,31.16,42.97,1.96,46.3,12.27,45.33,26.12,726.67,2.09,171000000.0
94.12,31.73,42.97,2.02,47.96,12.45,46.72,26.36,745.46,2.02,270000000.0
92.29,30.17,42.3,1.92,47.5,11.9,46.44,26.07,733.62,2.12,234000000.0
92.8,30.83,43.18,1.98,47.85,12.22,47.23,26.36,733.79,2.07,288000000.0
86.7,30.92,41.65,2.06,46.98,12.27,47.71,26.25,717.58,2.13,234000000.0
87.32,30.36,40.62,2.02,47.75,12.42,46.11,26.39,748.3,2.08,252000000.0
90.34,31.01,41.72,2.18,50.52,12.98,48.28,27.32,761.35,2.2,243000000.0
89.49,31.39,42.45,2.11,50.18,12.82,48.86,27.14,770.77,2.14,243000000.0
87.68,31.39,39.08,1.92,48.61,12.15,46.45,26.24,780.91,1.99,243000000.0
89.42,31.94,39.34,2.07,47.84,11.97,47.57,26.06,749.38,2.07,270000000.0
90.14,31.26,39.45,2.4,47.69,12.17,48.41,26.45,730.03,2.09,234000000.0
87.73,30.89,37.31,2.33,46.0,11.89,46.86,25.8,703.76,1.98,261000000.0
88.65,30.43,36.34,2.24,45.32,11.27,45.68,25.6,704.16,1.93,216000000.0
88.64,30.32,37.25,2.2,45.2,11.2,46.48,25.59,701.02,1.9,234000000.0
87.96,29.78,37.63,2.32,45.59,11.0,47.71,25.08,706.85,1.84,189000000.0
87.43,29.08,37.44,2.12,45.57,10.25,46.98,25.07,706.36,1.86,198000000.0
